Index,Load (kN),Defor (mm)
1215,4.81,0.062
1216,4.812,0.062
1217,4.816,0.062
1218,4.818,0.0624
1219,4.82,0.0624
1220,4.822,0.0624
1221,4.824,0.0624
1222,4.828,0.0624
1223,4.83,0.0624
1224,4.832,0.0624
1225,4.834,0.0624
1226,4.836,0.0624
1227,4.838,0.0624
1228,4.842,0.0624
1229,4.844,0.0624
1230,4.846,0.0624
1231,4.848,0.0624
1232,4.852,0.0628
1233,4.854,0.0628
1234,4.856,0.0628
1235,4.858,0.0628
1236,4.862,0.0628
1237,4.862,0.0628
1238,4.866,0.0632
1239,4.868,0.0632
1240,4.87,0.0632
1241,4.874,0.0632
1242,4.876,0.0632
1243,4.878,0.0632
1244,4.88,0.0628
